"anio","tipoInstitucion","institucion","uacad","carrera","titulo","gestion","nivel","estVarones","estMujeres","niVarones","niMujeres","reinsVarones","reinsMujeres","egVarones","egMujeres"
2014,"Universidad                                       ","Universidad Argentina John F. Kennedy","Escuela de Sistemas","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",478,78,50,6,428,72,18,3
2014,"Universidad                                       ","Universidad Autónoma de Entre Ríos","Facultad de Ciencia y Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas Informáticos","Estatal                                           ","Grado               ",134,39,0,0,134,39,20,8
2014,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",218,31,59,7,159,24,39,8
2014,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas - Sede Mar del Plata","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",23,3,4,2,19,1,2,0
2014,"Universidad                                       ","Universidad Católica de La Plata","Facultad de Ciencias Exáctas e Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",3,1,3,1,0,0,0,0
2014,"Universidad                                       ","Universidad Nacional de Chilecito","Escuela de Tecnología de la Información y las Comunicaciones","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",105,50,12,7,93,43,0,0
2014,"Universidad                                       ","Universidad Nacional de Entre Ríos","Facultad de Ciencias de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",171,40,34,6,137,34,0,0
2014,"Universidad                                       ","Universidad Nacional de General Sarmiento","Instituto de Industria","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",36,7,4,0,32,7,0,0
2014,"Universidad                                       ","Universidad Nacional de Jujuy","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",227,92,29,8,198,84,2,3
2014,"Universidad                                       ","Universidad Nacional de La Plata","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",0,312,200,42,0,270,19,9
2014,"Universidad                                       ","Universidad Nacional de La Rioja","Sede Chamical","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",11,4,0,0,11,4,1,0
2014,"Universidad                                       ","Universidad Nacional de La Rioja","Sede La Rioja","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",66,27,0,0,66,27,17,7
2014,"Universidad                                       ","Universidad Nacional de Lanús","Departamento de Desarrollo Productivo y Trabajo","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",463,70,152,25,311,45,3,0
2014,"Universidad                                       ","Universidad Nacional de Río Negro","Sede Atlántida","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",116,18,47,8,69,10,0,0
2014,"Universidad                                       ","Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Instituto de Desarrollo Económico e Innovación","Computación, Sistemas e Informática","Licenciatura en Sistemas (orientación Calidad de Software)","Estatal                                           ","Grado               ",45,12,30,7,15,5,0,0
2014,"Universidad                                       ","Universidad Nacional de la Patagonia Austral","UNIDAD ACADEMICA RIO GALLEGOS","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",28,11,19,2,9,9,1,0
2014,"Universidad                                       ","Universidad Nacional de la Patagonia San Juan Bosco","Facultad de Ingeniería - Sede Trelew","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",94,17,33,5,61,12,0,0
2014,"Universidad                                       ","Universidad Nacional de la Patagonia San Juan Bosco","Facultad de Ingeniería - Sede Ushuaia","Computación, Sistemas e Informática","Licenciatura en Sistemas (orientación Calidad de Software)","Estatal                                           ","Grado               ",18,1,0,0,18,1,0,0
2014,"Universidad                                       ","Universidad Nacional del Nordeste","Facultad de Ciencias Exactas y Naturales y Agrimensura","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",0,1,0,0,0,1,0,0
2014,"Universidad                                       ","Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Escuela de Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",175,39,31,5,144,34,0,0
2014,"Universidad                                       ","Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Escuela de Tecnología - Sede Pergamino","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",67,11,26,4,41,7,0,0
2014,"Universidad                                       ","Universidad de Mendoza","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",15,2,0,0,15,2,4,0
2014,"Universidad                                       ","Universidad de Mendoza","Subsede San Rafael","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",6,0,0,0,6,0,2,0
2014,"Universidad                                       ","Universidad de Morón","Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",75,15,15,2,60,13,8,2
2014,"Universidad                                       ","Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",31,6,0,0,31,6,9,0
2015,"Universidad                                       ","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Facultad de Ciencias Económicas y Jurídicas","Computación, Sistemas e Informática","Licenciatura en Sistemas y Computación","Privada                                           ","Grado               ",32,1,0,0,32,1,8,0
2015,"Universidad                                       ","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Facultad de Química e Ingeniería del Rosario","Computación, Sistemas e Informática","Licenciatura en Sistemas y Computación","Privada                                           ","Grado               ",33,4,0,0,33,4,11,1
2015,"Universidad                                       ","Universidad Argentina John F. Kennedy","Escuela de Sistemas","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",436,62,49,1,387,61,44,5
2015,"Universidad                                       ","Universidad Autónoma de Entre Ríos","Facultad de Ciencia y Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas Informáticos","Estatal                                           ","Grado               ",97,28,0,0,97,28,3,6
2015,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",218,31,59,7,159,24,39,8
2015,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas - Sede Mar del Plata","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",23,3,4,2,19,1,2,0
2015,"Universidad                                       ","Universidad Católica de La Plata","Facultad de Ciencias Exáctas e Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",21,4,18,3,3,1,0,0
2015,"Universidad                                       ","Universidad Nacional de Chilecito","Escuela de Tecnología de la Información y las Comunicaciones","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",89,43,12,3,77,40,0,0
2015,"Universidad                                       ","Universidad Nacional de Entre Ríos","Facultad de Ciencias de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",176,33,43,5,133,28,4,0
2015,"Universidad                                       ","Universidad Nacional de General Sarmiento","Instituto de Industria","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",73,14,12,4,61,10,0,1
2015,"Universidad                                       ","Universidad Nacional de Jujuy","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",211,89,35,8,176,81,1,1
2015,"Universidad                                       ","Universidad Nacional de La Plata","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",0,255,178,30,0,225,28,7
2015,"Universidad                                       ","Universidad Nacional de La Rioja","Sede Chamical","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",16,6,0,0,16,6,6,2
2015,"Universidad                                       ","Universidad Nacional de La Rioja","Sede La Rioja","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",48,17,0,0,48,17,15,1
2015,"Universidad                                       ","Universidad Nacional de Lanús","Departamento de Desarrollo Productivo y Trabajo","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",548,86,152,20,396,66,1,0
2015,"Universidad                                       ","Universidad Nacional de Río Negro","Sede Atlántida","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",129,20,53,9,76,11,0,0
2015,"Universidad                                       ","Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Instituto de Desarrollo Económico e Innovación","Computación, Sistemas e Informática","Licenciatura en Sistemas (orientación Calidad de Software)","Estatal                                           ","Grado               ",79,18,34,6,45,12,0,0
2015,"Universidad                                       ","Universidad Nacional de la Patagonia Austral","UNIDAD ACADEMICA RIO GALLEGOS","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",39,15,26,4,13,11,0,0
2015,"Universidad                                       ","Universidad Nacional de la Patagonia San Juan Bosco","Facultad de Ingeniería - Sede Trelew","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",96,18,16,5,80,13,2,0
2015,"Universidad                                       ","Universidad Nacional de la Patagonia San Juan Bosco","Facultad de Ingeniería - Sede Ushuaia","Computación, Sistemas e Informática","Licenciatura en Sistemas (orientación Calidad de Software)","Estatal                                           ","Grado               ",19,2,3,1,16,1,0,0
2015,"Universidad                                       ","Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Escuela de Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",180,35,39,3,141,32,1,2
2015,"Universidad                                       ","Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Escuela de Tecnología - Sede Pergamino","Computación, Sistemas e Informática","Licenciatura en Sistemas","Estatal                                           ","Grado               ",88,10,26,2,62,8,1,0
2015,"Universidad                                       ","Universidad de Mendoza","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",10,1,0,0,10,1,1,0
2015,"Universidad                                       ","Universidad de Mendoza","Subsede San Rafael","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",3,0,0,0,3,0,2,0
2015,"Universidad                                       ","Universidad de Morón","Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",75,15,15,2,60,13,8,2
2015,"Universidad                                       ","Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino","Facultad de Ingeniería","Computación, Sistemas e Informática","Licenciatura en Sistemas","Privada                                           ","Grado               ",19,6,0,0,19,6,2,0
2010,"Universidad                                       ","Universidad Adventista del Plata","Facultad de Ciencias Económicas y de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",108,9,15,2,93,7,6,2
2010,"Universidad                                       ","Universidad Autónoma de Entre Ríos","Facultad de Ciencia y Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",154,21,154,21,0,0,0,0
